Mechanical Strength (MPa),Magnetic Susceptibility
2,2.3410231569310884,0.24% calcium carbonate/P(VDF-TrFE)
4,2.1526613188234474,0.24% calcium carbonate/P(VDF-TrFE)
8,1.8491567192371974,0.24% calcium carbonate/P(VDF-TrFE)
13,1.7706271421236552,0.24% calcium carbonate/P(VDF-TrFE)
16,1.7585994923723502,0.24% calcium carbonate/P(VDF-TrFE)
2,-0.2105891286665844,0.63% calcium carbonate/P(VDF-TrFE)
4,3.836788279175165,0.63% calcium carbonate/P(VDF-TrFE)
8,10.500143776695468,0.63% calcium carbonate/P(VDF-TrFE)
13,49.131105095603644,0.63% calcium carbonate/P(VDF-TrFE)
16,96.70841907486599,0.63% calcium carbonate/P(VDF-TrFE)
2,5.468807665132553,0.54% calcium carbonate/P(VDF-TrFE)
4,5.033157548035741,0.54% calcium carbonate/P(VDF-TrFE)
8,4.922755468682487,0.54% calcium carbonate/P(VDF-TrFE)
13,4.850345424138631,0.54% calcium carbonate/P(VDF-TrFE)
16,4.837319845862602,0.54% calcium carbonate/P(VDF-TrFE)
