wt% (%),Crystallization Temperature (°C)
0.9897769562170033,4.667517811175198,Silicone rubber
4.081743370184556,7.587416285468082,Silicone rubber
8.367868568236403,23.07928384359856,Silicone rubber
15.887972711188524,-42.272996129711544,Silicone rubber
16.50062538346565,248.92498265310988,Silicone rubber
0.9897769562170033,-3.1430848493486554,Polychlorotrifluoroethylene
4.081743370184556,-1.9636044176323075,Polychlorotrifluoroethylene
8.367868568236403,5.434569966702393,Polychlorotrifluoroethylene
15.887972711188524,5.510621770490671,Polychlorotrifluoroethylene
16.50062538346565,153.8640633462934,Polychlorotrifluoroethylene
