Exposure Time (h),Adhesion Strength (MPa)
1,8.649178557217269,0.24% Fullerene/PEA
7,9.495309755016258,0.24% Fullerene/PEA
16,242.25563243821486,0.24% Fullerene/PEA
1,-6.657743677773356,0.89% Fullerene/PEA
7,-7.147392451777404,0.89% Fullerene/PEA
16,-7.2307896488715295,0.89% Fullerene/PEA
1,-5.4021020904158314,0.6% Fullerene/PEA
7,-6.044216013865638,0.6% Fullerene/PEA
16,-6.161004851682671,0.6% Fullerene/PEA
1,-5.953404452119218,0.32% Fullerene/PEA
7,-6.347170707304415,0.32% Fullerene/PEA
16,-6.666153968790141,0.32% Fullerene/PEA
1,2.4828207422468216,0.47% Fullerene/PEA
7,1.7645456845739875,0.47% Fullerene/PEA
16,1.6519766373871192,0.47% Fullerene/PEA
