Electron Beam Dose (Gy),Magnetic Anisotropy (J/m³)
0.9449081198982778,-3.14718411326172,Polyaniline/Poly(alpha-methylstyrene)
1.02179145330636,-3.098077053192986,Polyaniline/Poly(alpha-methylstyrene)
11.149536766972158,-3.8402416351334403,Polyaniline/Poly(alpha-methylstyrene)
12.309330450154807,-3.8520527109742,Polyaniline/Poly(alpha-methylstyrene)
12.688403902578244,-3.856487428599576,Polyaniline/Poly(alpha-methylstyrene)
0.9449081198982778,-1.4250007884981943,PVA/Poly(alpha-methylstyrene)
1.02179145330636,-1.5470657839324744,PVA/Poly(alpha-methylstyrene)
11.149536766972158,30.514966837773763,PVA/Poly(alpha-methylstyrene)
12.309330450154807,35.8138206319598,PVA/Poly(alpha-methylstyrene)
12.688403902578244,87.92975024898321,PVA/Poly(alpha-methylstyrene)
0.9449081198982778,6.006151885669334,PbS/Poly(alpha-methylstyrene)
1.02179145330636,6.194824013102716,PbS/Poly(alpha-methylstyrene)
11.149536766972158,5.544761020939679,PbS/Poly(alpha-methylstyrene)
12.309330450154807,5.5646749565578455,PbS/Poly(alpha-methylstyrene)
12.688403902578244,5.507433663391165,PbS/Poly(alpha-methylstyrene)
0.9449081198982778,1.433577723308715,Methoxy(dimethyl)octylsilane/Poly(alpha-methylstyrene)
1.02179145330636,1.1165125861770608,Methoxy(dimethyl)octylsilane/Poly(alpha-methylstyrene)
11.149536766972158,0.7421421718657828,Methoxy(dimethyl)octylsilane/Poly(alpha-methylstyrene)
12.309330450154807,0.707724917765028,Methoxy(dimethyl)octylsilane/Poly(alpha-methylstyrene)
12.688403902578244,0.7391535016347451,Methoxy(dimethyl)octylsilane/Poly(alpha-methylstyrene)
