Melting Temperature (°C),Specific Viscosity
0.06063916336999986,-2.1031190277972818,0.73% BaTiO3
6.892237860509156,0.5975787198625193,0.73% BaTiO3
10.28542136456542,-1.9480645199977347,0.73% BaTiO3
10.907792672477772,2.1463787242687644,0.73% BaTiO3
13.516326249608223,-0.9614423383266777,0.73% BaTiO3
19.34417283294801,6.514524540223508,0.73% BaTiO3
5.000540400949367,-2.795721438528528,0.16% BaTiO3
7.3714761808406015,-2.945051456446347,0.16% BaTiO3
9.17914343647073,-2.9872988295138065,0.16% BaTiO3
12.794661563510347,-3.1290650230366333,0.16% BaTiO3
15.676187107494851,-3.1762050685124055,0.16% BaTiO3
19.365014864576573,-3.2437836204896717,0.16% BaTiO3
