Mechanical Strength (MPa),Crystallization Temperature (°C)
0.08362721396887096,5.144614368456639,0.1% ZnO/PCL
2.265233315370223,4.787438653716507,0.1% ZnO/PCL
2.5449239600281204,5.056888324966938,0.1% ZnO/PCL
5.679437657886872,5.423006653505174,0.1% ZnO/PCL
18.7311391056077,3.0655100574170806,0.1% ZnO/PCL
0.08362721396887096,5.915774018052401,0.27% ZnO/PCL
2.265233315370223,5.770219374831765,0.27% ZnO/PCL
2.5449239600281204,5.571143647766295,0.27% ZnO/PCL
5.679437657886872,5.482048234128924,0.27% ZnO/PCL
18.7311391056077,5.046440197736541,0.27% ZnO/PCL
0.08362721396887096,-0.3104243815940879,0.55% ZnO/PCL
2.265233315370223,-0.5056217450097801,0.55% ZnO/PCL
2.5449239600281204,-0.741068993902607,0.55% ZnO/PCL
5.679437657886872,-0.8620423251899949,0.55% ZnO/PCL
18.7311391056077,-1.247370520499199,0.55% ZnO/PCL
