Young’s Modulus (GPa),Dielectric Breakdown Strength (MV/m)
1.1421683697648932,3.828459254375727,PETE
1.33197715993157,3.8696921306774574,PETE
6.495408605658146,3.0202341617027724,PETE
1.1421683697648932,4.485339661056104,PA 11
1.33197715993157,4.62729515159579,PA 11
6.495408605658146,3.9054828690993606,PA 11
1.1421683697648932,3.4491204462201255,Nylon 6(3)T
1.33197715993157,3.2497750673804098,Nylon 6(3)T
6.495408605658146,3.6614685304920016,Nylon 6(3)T
1.1421683697648932,7.004972359767557,PBTP
1.33197715993157,6.87423149574297,PBTP
6.495408605658146,5.482787318098505,PBTP
1.1421683697648932,3.1759592428871857,P(VDF-CTFE)
1.33197715993157,3.4107662879207794,P(VDF-CTFE)
6.495408605658146,12.160533994127997,P(VDF-CTFE)
