Nanoparticle Volume (%),Particle Size Distribution
0.11640189201663986,6.482967145967775,Poly(tetrafluoroethylene)
1.9107871765786655,7.473072130838274,Poly(tetrafluoroethylene)
2.4057002436738406,8.364561917312525,Poly(tetrafluoroethylene)
6.65900629853402,11.503372628222225,Poly(tetrafluoroethylene)
10.54536742840689,6.698099438157653,Poly(tetrafluoroethylene)
15.972679019001683,192.04586233309777,Poly(tetrafluoroethylene)
0,2.8413104347236704,P(VDF-HFP)
3,2.6834106675393423,P(VDF-HFP)
4,2.5505964249498123,P(VDF-HFP)
11,2.266622434666594,P(VDF-HFP)
14,2.155091920703719,P(VDF-HFP)
19,2.07272799722323,P(VDF-HFP)
2,1.2254458215316173,PETE
9,1.2425675089478623,PETE
13,3.0246196427212055,PETE
14,9.353200057204406,PETE
18,8.959719424408435,PETE
19,15.705251971572155,PETE
