Thermal Diffusivity (mm²/s),Flexural Modulus (GPa)
5,4.147606188480889,Acrylonitrile butadiene styrene
6,6.130636948459648,Acrylonitrile butadiene styrene
7,9.630488750725265,Acrylonitrile butadiene styrene
8,9.308977065673963,Acrylonitrile butadiene styrene
17,121.52023688674613,Acrylonitrile butadiene styrene
5,-2.6615344254850193,silicone
6,-3.091143028260782,silicone
7,-3.8249936707035666,silicone
8,-2.95603135843729,silicone
17,4.5068982803268405,silicone
5,6.696306153878598,BPA-Ph
6,6.639371111720681,BPA-Ph
7,6.632276979015117,BPA-Ph
8,6.570174850629077,BPA-Ph
17,6.499848929640067,BPA-Ph
5,3.309441628649484,Nylon 6
6,-0.6157004681236495,Nylon 6
7,4.073769733015348,Nylon 6
8,14.987955257255821,Nylon 6
17,192.8353184692464,Nylon 6
5,4.5866964601727425,PMMA-PtBA
6,4.770057190487413,PMMA-PtBA
7,6.057317442510114,PMMA-PtBA
8,4.41933466850097,PMMA-PtBA
17,-3.316500132950395,PMMA-PtBA
