Specific Surface Area (m²/g),Electrochemical Potential (V)
4.865056928689349,4.425992024484106,White mineral oil/Poly(tetrafluoroethylene)
5.799708944340014,8.666865732310978,White mineral oil/Poly(tetrafluoroethylene)
8.41784512815548,16.94924528512487,White mineral oil/Poly(tetrafluoroethylene)
9.559110612281449,5.800506984210012,White mineral oil/Poly(tetrafluoroethylene)
11.940398169549884,12.931685705691446,White mineral oil/Poly(tetrafluoroethylene)
14.560838300322754,97.14309862788129,White mineral oil/Poly(tetrafluoroethylene)
4.865056928689349,10.648707138496452,Aluminium dioxide/Poly(tetrafluoroethylene)
5.799708944340014,11.070990854838186,Aluminium dioxide/Poly(tetrafluoroethylene)
8.41784512815548,6.888105724691645,Aluminium dioxide/Poly(tetrafluoroethylene)
9.559110612281449,17.215040699532853,Aluminium dioxide/Poly(tetrafluoroethylene)
11.940398169549884,80.71248380318895,Aluminium dioxide/Poly(tetrafluoroethylene)
14.560838300322754,132.84467021819077,Aluminium dioxide/Poly(tetrafluoroethylene)
4.865056928689349,5.877734252379566,Methoxy(dimethyl)octylsilane/Poly(tetrafluoroethylene)
5.799708944340014,11.13789707348485,Methoxy(dimethyl)octylsilane/Poly(tetrafluoroethylene)
8.41784512815548,8.738633243890545,Methoxy(dimethyl)octylsilane/Poly(tetrafluoroethylene)
9.559110612281449,13.192925877872858,Methoxy(dimethyl)octylsilane/Poly(tetrafluoroethylene)
11.940398169549884,57.59615212415108,Methoxy(dimethyl)octylsilane/Poly(tetrafluoroethylene)
14.560838300322754,-92.56154485718919,Methoxy(dimethyl)octylsilane/Poly(tetrafluoroethylene)
