Synthesis Temperature (°C),Flexural Modulus (GPa)
1,6.728868193002912,silver hexafluoroantimonate/TPU
3,6.564843704911464,silver hexafluoroantimonate/TPU
12,6.19024185498035,silver hexafluoroantimonate/TPU
14,6.1354121438275895,silver hexafluoroantimonate/TPU
17,6.0723332053740045,silver hexafluoroantimonate/TPU
1,-1.6055437762142135,OFG/TPU
3,-1.8317594957111132,OFG/TPU
12,-2.040576216451953,OFG/TPU
14,-2.1078008624273714,OFG/TPU
17,-2.1799362754716576,OFG/TPU
1,7.063743831621866,Graphite oxide/TPU
3,6.904701356075517,Graphite oxide/TPU
12,6.445467962452804,Graphite oxide/TPU
14,6.434257638635568,Graphite oxide/TPU
17,6.330468073825086,Graphite oxide/TPU
1,-3.8947835409479588,Calcium carbonate/TPU
3,-3.341598485830679,Calcium carbonate/TPU
12,23.10922073459137,Calcium carbonate/TPU
14,70.64715250428904,Calcium carbonate/TPU
17,311.15675122374466,Calcium carbonate/TPU
1,-4.1152388455947815,silver/TPU
3,-4.409209550613689,silver/TPU
12,-4.933148804255861,silver/TPU
14,-4.944211276030783,silver/TPU
17,-4.954273166826679,silver/TPU
