filler labels,Thermal Resistance (K/W)
0,-3.050434953761296,
4,-3.8135200067992185,
6,-4.000488890638675,
9,-4.0672519062464545,
10,-4.081204555214451,
14,-4.115298702382616,
0,-2.394912096843086,
4,-1.5555124548083725,
6,-1.3546876441452893,
9,-2.4872330762121178,
10,-1.7190947965444583,
14,-2.924918736448607,
0,-6.148206647807892,
4,-5.784787778494962,
6,-4.790547132242268,
9,-3.340615371441526,
10,-3.7813960515365377,
14,-7.653002124434009,
0,-3.7126632683680025,
4,-3.1418952461078185,
6,-3.0552386925710593,
9,-1.92034706798447,
10,-1.9609713590062392,
14,0.5007233861032807,
0,-5.650586024358953,
4,-5.272364311677315,
6,-6.297250993053518,
9,-4.77619796431108,
10,-3.397189735371714,
14,-5.647186253502183,
