Dielectric Loss,Pore Volume (cm³/g)
4.401973346392016,-1.4997712128678042,0.96% barium titanate/Poly(acrylamide)
5.616588089757069,-1.597204614563048,0.96% barium titanate/Poly(acrylamide)
6.535992842153755,-0.5470202553293526,0.96% barium titanate/Poly(acrylamide)
7.711837195861131,-1.6880695351525596,0.96% barium titanate/Poly(acrylamide)
0,-6.817012426527299,0.7% barium titanate/Poly(acrylamide)
11,-4.972868133915744,0.7% barium titanate/Poly(acrylamide)
13,53.404635343553345,0.7% barium titanate/Poly(acrylamide)
14,-3.9817455906571215,0.7% barium titanate/Poly(acrylamide)
5.936723335742555,8.992954098540853,0.51% barium titanate/Poly(acrylamide)
9.19061459940869,7.207665558688198,0.51% barium titanate/Poly(acrylamide)
12.786573044550407,7.746046393288003,0.51% barium titanate/Poly(acrylamide)
14.289509781896763,14.196562098306284,0.51% barium titanate/Poly(acrylamide)
2.9585504814339636,5.6430632194164225,0.14% barium titanate/Poly(acrylamide)
5.859751073918227,5.6896420397654035,0.14% barium titanate/Poly(acrylamide)
12.388193328305018,5.413827992377229,0.14% barium titanate/Poly(acrylamide)
19.71850700906003,5.271439176838911,0.14% barium titanate/Poly(acrylamide)
0,5.676130822638035,0.78% barium titanate/Poly(acrylamide)
14,4.9442278363915735,0.78% barium titanate/Poly(acrylamide)
15,4.9326087213996415,0.78% barium titanate/Poly(acrylamide)
17,4.886221471561734,0.78% barium titanate/Poly(acrylamide)
