Incubation Temperature (°C),Compression Strength (MPa)
6,-1.2283054223094345,Au/poly-HEMA
7,-1.304244393043524,Au/poly-HEMA
8,-1.3324056791402221,Au/poly-HEMA
12,-1.3871908202325207,Au/poly-HEMA
6,1.4823223717772085,Zinc oxide/poly-HEMA
7,0.13522521817092947,Zinc oxide/poly-HEMA
8,-2.236442881638508,Zinc oxide/poly-HEMA
12,4.207157741984348,Zinc oxide/poly-HEMA
6,-2.532762583826522,"Iron (II,III) Oxide/poly-HEMA"
7,-2.5652144461788073,"Iron (II,III) Oxide/poly-HEMA"
8,-2.663840107965511,"Iron (II,III) Oxide/poly-HEMA"
12,-2.7904952821664497,"Iron (II,III) Oxide/poly-HEMA"
6,2.4773328982366944,White mineral oil/poly-HEMA
7,7.918881966630689,White mineral oil/poly-HEMA
8,11.610004044859515,White mineral oil/poly-HEMA
12,16.721604520419117,White mineral oil/poly-HEMA
6,-5.228893038158515,Ag/poly-HEMA
7,-5.273988415753174,Ag/poly-HEMA
8,-5.354232229933806,Ag/poly-HEMA
12,-5.511347109971689,Ag/poly-HEMA
