Frequency (Hz),Modulus Of Elasticity (GPa)
1.9896037486955032,6.599046867603707,CaCO3/PMMA
4.75476751389567,6.337257577580336,CaCO3/PMMA
7.0470708049391195,6.221251981375243,CaCO3/PMMA
8.66390479537392,6.182918661309939,CaCO3/PMMA
1.9896037486955032,-6.226537062242379,Buckminsterfullerene/PMMA
4.75476751389567,-6.673171457682983,Buckminsterfullerene/PMMA
7.0470708049391195,-4.418184069323429,Buckminsterfullerene/PMMA
8.66390479537392,-4.952784346883771,Buckminsterfullerene/PMMA
1.9896037486955032,6.880705981080798,AuNPs/PMMA
4.75476751389567,6.788091765328324,AuNPs/PMMA
7.0470708049391195,6.770906743721698,AuNPs/PMMA
8.66390479537392,6.648427462281826,AuNPs/PMMA
1.9896037486955032,-0.5142873491104909, Graphite/PMMA
4.75476751389567,0.33348115584490934, Graphite/PMMA
7.0470708049391195,0.8140152283572908, Graphite/PMMA
8.66390479537392,1.8565087390367347, Graphite/PMMA
