Crystallinity (%),Dynamic Viscosity (Pa·s)
2.5252375232020507,8.11069238101271,Clay/Epoxy novolac viny ester resin
5.307628272808175,7.8527081729076365,Clay/Epoxy novolac viny ester resin
8.482356182077119,7.757661818798194,Clay/Epoxy novolac viny ester resin
10.383512217590177,7.731979115561873,Clay/Epoxy novolac viny ester resin
15.868153582882217,7.6977024228711,Clay/Epoxy novolac viny ester resin
18.11528062634579,7.6932453475381966,Clay/Epoxy novolac viny ester resin
19.077187435691197,7.691965846787033,Clay/Epoxy novolac viny ester resin
2.5252375232020507,-3.3897514852337967,Acetylene black/Epoxy novolac viny ester resin
5.307628272808175,-2.1952246780076807,Acetylene black/Epoxy novolac viny ester resin
8.482356182077119,-2.0006276960647913,Acetylene black/Epoxy novolac viny ester resin
10.383512217590177,-1.4262480141770837,Acetylene black/Epoxy novolac viny ester resin
15.868153582882217,1.4338980658652734,Acetylene black/Epoxy novolac viny ester resin
18.11528062634579,3.059875841537151,Acetylene black/Epoxy novolac viny ester resin
19.077187435691197,7.437323857209094,Acetylene black/Epoxy novolac viny ester resin
2.5252375232020507,9.006811644542466,Paraffinum liquidum/Epoxy novolac viny ester resin
5.307628272808175,8.665201902778731,Paraffinum liquidum/Epoxy novolac viny ester resin
8.482356182077119,11.201115464463474,Paraffinum liquidum/Epoxy novolac viny ester resin
10.383512217590177,12.173777970502583,Paraffinum liquidum/Epoxy novolac viny ester resin
15.868153582882217,1.945321378987913,Paraffinum liquidum/Epoxy novolac viny ester resin
18.11528062634579,21.358450187872556,Paraffinum liquidum/Epoxy novolac viny ester resin
19.077187435691197,10.116868859406036,Paraffinum liquidum/Epoxy novolac viny ester resin
2.5252375232020507,6.697679020243596,Polyaniline/Epoxy novolac viny ester resin
5.307628272808175,7.429530261290983,Polyaniline/Epoxy novolac viny ester resin
8.482356182077119,8.932462657682104,Polyaniline/Epoxy novolac viny ester resin
10.383512217590177,10.198639350323912,Polyaniline/Epoxy novolac viny ester resin
15.868153582882217,3.4708417145497465,Polyaniline/Epoxy novolac viny ester resin
18.11528062634579,5.032448799555995,Polyaniline/Epoxy novolac viny ester resin
19.077187435691197,18.318282797715852,Polyaniline/Epoxy novolac viny ester resin
2.5252375232020507,9.476641576526982,Zirconium dioxide/Epoxy novolac viny ester resin
5.307628272808175,9.110911344217998,Zirconium dioxide/Epoxy novolac viny ester resin
8.482356182077119,10.365267216836948,Zirconium dioxide/Epoxy novolac viny ester resin
10.383512217590177,9.571344813941295,Zirconium dioxide/Epoxy novolac viny ester resin
15.868153582882217,9.850871698289467,Zirconium dioxide/Epoxy novolac viny ester resin
18.11528062634579,22.816434669498726,Zirconium dioxide/Epoxy novolac viny ester resin
19.077187435691197,-1.3519326421452895,Zirconium dioxide/Epoxy novolac viny ester resin
