Calcination Time (h),Charge Transfer Resistance (Ω·m²)
0,-6.418079201575953,Paraffin oil/DGEBD Epoxy Resin
6,-6.594964845476904,Paraffin oil/DGEBD Epoxy Resin
7,-6.582138908983182,Paraffin oil/DGEBD Epoxy Resin
10,-6.808997326062572,Paraffin oil/DGEBD Epoxy Resin
15,-6.985288518915383,Paraffin oil/DGEBD Epoxy Resin
0,8.342637625685384,high abrasion furnace black/DGEBD Epoxy Resin
6,8.03718710935435,high abrasion furnace black/DGEBD Epoxy Resin
7,7.932068043292971,high abrasion furnace black/DGEBD Epoxy Resin
10,7.837893135694985,high abrasion furnace black/DGEBD Epoxy Resin
15,7.666785020974468,high abrasion furnace black/DGEBD Epoxy Resin
0,-5.873443283435382,ZrO2/DGEBD Epoxy Resin
6,-6.459387316100362,ZrO2/DGEBD Epoxy Resin
7,-6.389638537828847,ZrO2/DGEBD Epoxy Resin
10,-6.54267145363472,ZrO2/DGEBD Epoxy Resin
15,-6.731514059349131,ZrO2/DGEBD Epoxy Resin
0,-5.160875780617484,clay/DGEBD Epoxy Resin
6,-5.859168296886286,clay/DGEBD Epoxy Resin
7,-5.907995321162742,clay/DGEBD Epoxy Resin
10,-5.9924526908398335,clay/DGEBD Epoxy Resin
15,-6.03354796333999,clay/DGEBD Epoxy Resin
