Tensile Strength (MPa),Corrosion Rate (mm/year)
9.199861634674493,3.722991870737975,0.38% expanded graphite
11.710365495702026,3.6952570648302823,0.38% expanded graphite
15.89573070397985,3.6711208706756904,0.38% expanded graphite
11.735964467120466,4.805201095725061,0.71% expanded graphite
12.668939854695292,4.788767369524514,0.71% expanded graphite
15.386211629017918,4.706724635180675,0.71% expanded graphite
8.57029005972758,5.439988971726759,0.54% expanded graphite
8.692819017782313,8.178306705035121,0.54% expanded graphite
8.761258439271158,10.574821558932317,0.54% expanded graphite
10.699484604018789,-5.137923931077962,0.29% expanded graphite
15.835024298623807,-5.285976365647868,0.29% expanded graphite
16.493556565230147,-5.307209076140307,0.29% expanded graphite
