Curing Temperature (°C),Fatigue Strength (MPa)
1,6.585191863576014,graphene oxide/Poly(vinyl chloride)
17,6.009466046006249,graphene oxide/Poly(vinyl chloride)
18,5.988270224745807,graphene oxide/Poly(vinyl chloride)
1,-0.2207646202364275,MgO/Poly(vinyl chloride)
17,267.4787578304626,MgO/Poly(vinyl chloride)
18,378.7689890379035,MgO/Poly(vinyl chloride)
1,3.395195677938492,fumed silica/Poly(vinyl chloride)
17,87.0491890737024,fumed silica/Poly(vinyl chloride)
18,528.0796854473286,fumed silica/Poly(vinyl chloride)
1,4.6150512839424955,MWCNT/Poly(vinyl chloride)
17,3.8416203450826854,MWCNT/Poly(vinyl chloride)
18,3.8401453093009286,MWCNT/Poly(vinyl chloride)
1,6.802861228523689,Sepiolite/Poly(vinyl chloride)
17,6.403722452618742,Sepiolite/Poly(vinyl chloride)
18,6.402406480817119,Sepiolite/Poly(vinyl chloride)
