Drying Time (h),Electrical Conductivity (S/m)
0,-0.9904816078414356,ABS
2,-1.5117787059101493,ABS
3,-0.5252439327922269,ABS
4,-0.33730926416400786,ABS
11,-0.17101439762716764,ABS
12,5.815222251685695,ABS
0,8.188662463519908,Poly(ethylene)
2,8.668039433303314,Poly(ethylene)
3,9.115868035374676,Poly(ethylene)
4,9.391736116740363,Poly(ethylene)
11,28.83864700193984,Poly(ethylene)
12,79.22782865963978,Poly(ethylene)
0,-1.4176190714253578,sPP
2,-1.7042255386924916,sPP
3,-1.8493331910021182,sPP
4,-2.0245975259568927,sPP
11,-2.2304021039106807,sPP
12,-2.2436976393608656,sPP
