Annealing Temperature (°C),Degradation Temperature (°C)
3.4484481969876835,-5.605224635511227,0.5% polyaniline/PVP
4.688504374844555,-4.9134050993567016,0.5% polyaniline/PVP
5.39124782745086,-4.73353121520876,0.5% polyaniline/PVP
6.738956674072034,-5.153311847794498,0.5% polyaniline/PVP
13.147666236224207,-1.2116001778951695,0.5% polyaniline/PVP
3.4484481969876835,-5.841642355307048,0.62% polyaniline/PVP
4.688504374844555,-3.100570945872779,0.62% polyaniline/PVP
5.39124782745086,-1.4818831880601584,0.62% polyaniline/PVP
6.738956674072034,-2.7188244208487102,0.62% polyaniline/PVP
13.147666236224207,22.50878860247476,0.62% polyaniline/PVP
