Pore Size (nm),Glass Transition Temperature (°C)
0.2666069764806478,-4.303931579544429,0.91% Calcium carbonate/PANa
3.9992778748317415,-4.364254349674754,0.91% Calcium carbonate/PANa
15.834545078712006,0.801533923380708,0.91% Calcium carbonate/PANa
19.754687533661055,-9.419539289059353,0.91% Calcium carbonate/PANa
0.2666069764806478,3.4303346055957675,0.95% Calcium carbonate/PANa
3.9992778748317415,4.850485749839195,0.95% Calcium carbonate/PANa
15.834545078712006,4.750503343868811,0.95% Calcium carbonate/PANa
19.754687533661055,17.1470764944388,0.95% Calcium carbonate/PANa
0.2666069764806478,8.245333155484111,0.45% Calcium carbonate/PANa
3.9992778748317415,7.906620964617322,0.45% Calcium carbonate/PANa
15.834545078712006,7.655597433089904,0.45% Calcium carbonate/PANa
19.754687533661055,7.650000092355615,0.45% Calcium carbonate/PANa
