Magnetic Field Strength (T),Compression Strength (MPa)
1.157853488922529,1.656801764152796,Poly(2-vinyl pyridine)
5.790485795330933,1.5175931060997074,Poly(2-vinyl pyridine)
10.473792902970382,1.2981661361726642,Poly(2-vinyl pyridine)
12.447494505680295,1.222044154886387,Poly(2-vinyl pyridine)
15.992274394781138,1.120113934962851,Poly(2-vinyl pyridine)
17.95614898462199,1.0863222672935322,Poly(2-vinyl pyridine)
1.157853488922529,1.8801690611430222,Poly(methyl acrylate)
5.790485795330933,1.3441926000342095,Poly(methyl acrylate)
10.473792902970382,1.2186746727616165,Poly(methyl acrylate)
12.447494505680295,1.2005043451358832,Poly(methyl acrylate)
15.992274394781138,1.1864889204946347,Poly(methyl acrylate)
17.95614898462199,1.1828337656432955,Poly(methyl acrylate)
1.157853488922529,-2.5204052163916333,PVC
5.790485795330933,-3.1599718966337997,PVC
10.473792902970382,-3.2886710567882065,PVC
12.447494505680295,-3.307180803368287,PVC
15.992274394781138,-3.323302558990892,PVC
17.95614898462199,-3.3270179672816638,PVC
