Softening Temperature (°C),Electronic Conductivity (S/m)
3,-2.4035617627106034,0.1% graphene nanoribbon/Poly(methyl methacrylate)
6,-2.571754673918405,0.1% graphene nanoribbon/Poly(methyl methacrylate)
8,-2.7228424930192694,0.1% graphene nanoribbon/Poly(methyl methacrylate)
17,-2.973686644435118,0.1% graphene nanoribbon/Poly(methyl methacrylate)
18,-2.9943106144884832,0.1% graphene nanoribbon/Poly(methyl methacrylate)
3,-0.30665379763387035,0.72% graphene nanoribbon/Poly(methyl methacrylate)
6,-0.17380623764110936,0.72% graphene nanoribbon/Poly(methyl methacrylate)
8,3.8101432400181388,0.72% graphene nanoribbon/Poly(methyl methacrylate)
17,142.3490739433698,0.72% graphene nanoribbon/Poly(methyl methacrylate)
18,99.87369465473552,0.72% graphene nanoribbon/Poly(methyl methacrylate)
3,7.144283858440231,0.51% graphene nanoribbon/Poly(methyl methacrylate)
6,12.799491127280422,0.51% graphene nanoribbon/Poly(methyl methacrylate)
8,11.74917394368802,0.51% graphene nanoribbon/Poly(methyl methacrylate)
17,41.0058357713298,0.51% graphene nanoribbon/Poly(methyl methacrylate)
18,174.0203491072453,0.51% graphene nanoribbon/Poly(methyl methacrylate)
3,8.116091679579453,0.26% graphene nanoribbon/Poly(methyl methacrylate)
6,9.67221635148908,0.26% graphene nanoribbon/Poly(methyl methacrylate)
8,15.862262456808613,0.26% graphene nanoribbon/Poly(methyl methacrylate)
17,573.2264180947369,0.26% graphene nanoribbon/Poly(methyl methacrylate)
18,296.06583096884344,0.26% graphene nanoribbon/Poly(methyl methacrylate)
