Incubation Time (h),X-ray Diffraction Intensity
1.507740649401843,2.5362046251559454,0.14% Paraffinum liquidum
2.505935420437053,2.5734465243068367,0.14% Paraffinum liquidum
4.977723866128539,2.3324353255312347,0.14% Paraffinum liquidum
16.13718235756094,2.122564243105533,0.14% Paraffinum liquidum
19.688732621418513,2.11746019120958,0.14% Paraffinum liquidum
1.507740649401843,-5.911750760837734,0.36% Paraffinum liquidum
2.505935420437053,-5.847642073816368,0.36% Paraffinum liquidum
4.977723866128539,-6.109231104328548,0.36% Paraffinum liquidum
16.13718235756094,-6.477535016185598,0.36% Paraffinum liquidum
19.688732621418513,-6.524192294354619,0.36% Paraffinum liquidum
