Drying Time (h),Compressive Modulus (GPa)
0,-6.2637169929741425,sPP
3,-6.696124540873758,sPP
6,-6.854943985976558,sPP
15,-7.0818422848436455,sPP
19,-7.170198748288222,sPP
0,-4.426419856551416,Poly(ether ether ketone)
3,-2.1719360106021863,Poly(ether ether ketone)
6,0.6051329118367441,Poly(ether ether ketone)
15,69.18595583377746,Poly(ether ether ketone)
19,1063.3176374901095,Poly(ether ether ketone)
0,-2.320866159431317,PAM
3,-2.698167675482223,PAM
6,-2.913262748782799,PAM
15,-3.0415652148788532,PAM
19,-3.0500520079206943,PAM
0,-2.996313510755247,sPP
3,-3.287903454918045,sPP
6,-3.54741211782439,sPP
15,-3.906979794047461,sPP
19,-3.9717792649461394,sPP
