Reaction Temperature (°C),Electronic Conductivity (S/m)
1.8200404529948488,-1.9122450027969329,Poly(butyl acrylate)
6.688454065023723,-2.488706335199209,Poly(butyl acrylate)
17.948642409830875,-2.6304141772180083,Poly(butyl acrylate)
11,18.5230129406753,Cyclic olefin copolymer
13,58.883404826604895,Cyclic olefin copolymer
15,228.71663311998782,Cyclic olefin copolymer
0,-5.844825977396411,PRX
11,32.59544071681713,PRX
19,-157.8653982277425,PRX
4.574834369286873,-1.4903231140715774,sPP
8.189929688974427,-1.6594377508829212,sPP
18.723858542921487,-1.7417703957547228,sPP
