Synthesis Temperature (°C),Impact Strength (kJ/m²)
1.519086202389457,-0.8960369909167845,0.64% silver
4.396740174786471,1.3137645749860662,0.64% silver
7.388570287443943,2.2020572139161985,0.64% silver
8.437482302245176,7.476406153205518,0.64% silver
10.36678746941169,-2.1859672722863657,0.64% silver
14.918294122056256,132.69456212890242,0.64% silver
18.66663476594496,222.71119031343866,0.64% silver
3,-0.1158418051239738,0.37% silver
4,-0.679387533871975,0.37% silver
7,2.9557353059323894,0.37% silver
13,36.467315971360044,0.37% silver
15,-27.614011797145942,0.37% silver
17,-70.6053628582024,0.37% silver
19,-433.62536699544654,0.37% silver
4.4335248459377645,4.415011139072842,0.26% silver
8.800999264479781,4.27333125129768,0.26% silver
9.054401934107082,4.2730610019184585,0.26% silver
9.345438294941495,4.2618814482120655,0.26% silver
13.87800845498132,4.22106863103136,0.26% silver
17.04554147750176,4.213478886263742,0.26% silver
19.15486973419387,4.210903962042652,0.26% silver
3.6396716344717195,7.848216669760408,0.97% silver
4.652864825359435,7.368216895174741,0.97% silver
4.775554883565844,10.738232414883798,0.97% silver
9.37070480059003,30.879201236292303,0.97% silver
14.909516383621744,21.927051428292494,0.97% silver
15.952031182680322,292.6863752774739,0.97% silver
19.819693107915455,-409.0097758849891,0.97% silver
1.3215954979212774,-5.236391401330267,0.24% silver
9.242191926163887,19.641178371784875,0.24% silver
10.16268480420111,31.002620344171135,0.24% silver
14.661141600475329,177.36092400200758,0.24% silver
14.85532391191342,36.35976145886459,0.24% silver
15.390452101336002,97.17967763163324,0.24% silver
16.45483861441352,54.190154478852186,0.24% silver
