Incubation Time (h),Complex Viscosity (Pa·s)
6.066225019786757,3.2083979417756616,0.37% Silicon carbide
10.43486258325143,25.87638896606849,0.37% Silicon carbide
16.876025833979668,-22.345604477107223,0.37% Silicon carbide
6.066225019786757,3.062895986439303,0.25% Silicon carbide
10.43486258325143,7.3610887066438995,0.25% Silicon carbide
16.876025833979668,-1.882339617891903,0.25% Silicon carbide
6.066225019786757,2.3197035436777975,0.68% Silicon carbide
10.43486258325143,30.17173789976301,0.68% Silicon carbide
16.876025833979668,263.4483477452401,0.68% Silicon carbide
6.066225019786757,4.988935252903564,0.09% Silicon carbide
10.43486258325143,4.913956821394719,0.09% Silicon carbide
16.876025833979668,4.873642326824497,0.09% Silicon carbide
6.066225019786757,-1.0098078068578362,0.96% Silicon carbide
10.43486258325143,-1.1989455481004123,0.96% Silicon carbide
16.876025833979668,-1.351306149637433,0.96% Silicon carbide
