Hardness (HV),Flexural Strength (MPa)
0.7352332432835862,1.8740900996327117,0.74% Fullerene/Nylon 11
3.471230608375795,1.6115532516101467,0.74% Fullerene/Nylon 11
5.722997563661236,1.4670216446826734,0.74% Fullerene/Nylon 11
12.815463272870888,1.2554485922131915,0.74% Fullerene/Nylon 11
16.50209824412592,1.1715390008449047,0.74% Fullerene/Nylon 11
0.7352332432835862,4.819031603344822,0.16% Fullerene/Nylon 11
3.471230608375795,4.766614643189767,0.16% Fullerene/Nylon 11
5.722997563661236,4.627498490828005,0.16% Fullerene/Nylon 11
12.815463272870888,7.553783116736202,0.16% Fullerene/Nylon 11
16.50209824412592,11.782643272531747,0.16% Fullerene/Nylon 11
0.7352332432835862,-0.3106533741342521,0.51% Fullerene/Nylon 11
3.471230608375795,0.5104602265831721,0.51% Fullerene/Nylon 11
5.722997563661236,0.6506001168453106,0.51% Fullerene/Nylon 11
12.815463272870888,5.4626209476734005,0.51% Fullerene/Nylon 11
16.50209824412592,3.697189649499176,0.51% Fullerene/Nylon 11
0.7352332432835862,0.2028043698538018,0.42% Fullerene/Nylon 11
3.471230608375795,2.5638087150501523,0.42% Fullerene/Nylon 11
5.722997563661236,5.23965455729706,0.42% Fullerene/Nylon 11
12.815463272870888,19.938699002307708,0.42% Fullerene/Nylon 11
16.50209824412592,308.63496170593777,0.42% Fullerene/Nylon 11
