Incubation Temperature (°C),Compressive Modulus (GPa)
2.1061773731981837,1.195605691862502,0.69% polyaniline/PETE
3.5532678975384635,1.1621625705483698,0.69% polyaniline/PETE
11.628496554999519,4.763467082591555,0.69% polyaniline/PETE
16.217910817771145,-1.0875546063779327,0.69% polyaniline/PETE
17.55161953270089,6.8270108480880936,0.69% polyaniline/PETE
2.1061773731981837,3.8414850529625357,0.81% polyaniline/PETE
3.5532678975384635,3.6105932705587778,0.81% polyaniline/PETE
11.628496554999519,3.311531267823209,0.81% polyaniline/PETE
16.217910817771145,3.194691302041621,0.81% polyaniline/PETE
17.55161953270089,3.1814801382986344,0.81% polyaniline/PETE
2.1061773731981837,5.716355524341917,0.33% polyaniline/PETE
3.5532678975384635,5.714254041017137,0.33% polyaniline/PETE
11.628496554999519,5.365442086343299,0.33% polyaniline/PETE
16.217910817771145,5.34413656625184,0.33% polyaniline/PETE
17.55161953270089,5.341932463899999,0.33% polyaniline/PETE
