Polymer Molecular Weight (g/mol),Degradation Temperature (°C)
1.995120040493843,7.1666297328742505,0.54% Sodium titanate nanotubes
2.7669922492454013,7.577031111502961,0.54% Sodium titanate nanotubes
3.1686116262092634,7.21803740705448,0.54% Sodium titanate nanotubes
10.467074236379279,36.325980296270146,0.54% Sodium titanate nanotubes
18.204376382876003,-525.0199963395276,0.54% Sodium titanate nanotubes
1.995120040493843,-6.071866885101644,0.18% Sodium titanate nanotubes
2.7669922492454013,-5.681487193550935,0.18% Sodium titanate nanotubes
3.1686116262092634,-6.390598978925363,0.18% Sodium titanate nanotubes
10.467074236379279,-5.5929839835984865,0.18% Sodium titanate nanotubes
18.204376382876003,1.7894185258032582,0.18% Sodium titanate nanotubes
1.995120040493843,6.907434436838429,0.2% Sodium titanate nanotubes
2.7669922492454013,6.726489776210197,0.2% Sodium titanate nanotubes
3.1686116262092634,6.670020739089265,0.2% Sodium titanate nanotubes
10.467074236379279,6.207153432874802,0.2% Sodium titanate nanotubes
18.204376382876003,6.008849871802788,0.2% Sodium titanate nanotubes
