UV Exposure Time (h),Passivation Current Density (A/m²)
0.17474328221947388,-2.7489844125231317,0.25% Carbon nanofibers/PEO
2.2140281612248924,-2.8274901304848297,0.25% Carbon nanofibers/PEO
6.178920791343021,-2.1174402579609626,0.25% Carbon nanofibers/PEO
12.708975519398065,0.4375796989889391,0.25% Carbon nanofibers/PEO
14.88328271715897,5.8554623922101925,0.25% Carbon nanofibers/PEO
16.778504608257187,-2.0984520149720134,0.25% Carbon nanofibers/PEO
0.17474328221947388,5.58987364761777,0.16% Carbon nanofibers/PEO
2.2140281612248924,6.147136193975328,0.16% Carbon nanofibers/PEO
6.178920791343021,7.584450734325995,0.16% Carbon nanofibers/PEO
12.708975519398065,8.035072296741376,0.16% Carbon nanofibers/PEO
14.88328271715897,7.223493238190018,0.16% Carbon nanofibers/PEO
16.778504608257187,2.928831306092209,0.16% Carbon nanofibers/PEO
0.17474328221947388,7.292759423906885,0.27% Carbon nanofibers/PEO
2.2140281612248924,7.339572136802303,0.27% Carbon nanofibers/PEO
6.178920791343021,7.120027541824466,0.27% Carbon nanofibers/PEO
12.708975519398065,8.6754581492918,0.27% Carbon nanofibers/PEO
14.88328271715897,6.058549464657815,0.27% Carbon nanofibers/PEO
16.778504608257187,6.847231217852771,0.27% Carbon nanofibers/PEO
