Nanoparticle Volume (%),Pore Volume (cm³/g)
3,-5.371838204946098,calcium carbonate/PBD
7,-5.721489320691449,calcium carbonate/PBD
12,-5.93401993658133,calcium carbonate/PBD
3,1.3509156540985139,Alumina/PBD
7,1.1978363383332262,Alumina/PBD
12,1.0937062893542298,Alumina/PBD
3,8.059523005298018,clay/PBD
7,16.794163056762937,clay/PBD
12,-14.763562408064837,clay/PBD
3,-1.9209552712288716,titania/PBD
7,-2.1507096418308667,titania/PBD
12,-2.24640413652656,titania/PBD
3,2.1414868268086917,C.I. Pigment Black 6/PBD
7,1.8366677305558148,C.I. Pigment Black 6/PBD
12,1.6576747763514985,C.I. Pigment Black 6/PBD
