Calcination Temperature (°C),Polarization Resistance (Ω·m²)
8,8.808280899121982,0.13% silica gel/IMPP
13,75.47781007968935,0.13% silica gel/IMPP
14,-43.021412147605865,0.13% silica gel/IMPP
8,-6.819359803884311,0.53% silica gel/IMPP
13,-6.888299436338337,0.53% silica gel/IMPP
14,-6.895372121682087,0.53% silica gel/IMPP
8,-6.962049438687522,0.84% silica gel/IMPP
13,-7.035101853122885,0.84% silica gel/IMPP
14,-7.039964061758474,0.84% silica gel/IMPP
8,-1.795578169216177,0.19% silica gel/IMPP
13,-5.145568019572303,0.19% silica gel/IMPP
14,-2.692230520703225,0.19% silica gel/IMPP
8,2.074430943643442,0.93% silica gel/IMPP
13,2.4204362189986366,0.93% silica gel/IMPP
14,2.9146439339393098,0.93% silica gel/IMPP
