Ion Beam Dose (Gy),Heat Of Fusion (J/g)
9.279029899334985,4.349755260647176,0.21% C60/Nylon 6-6
9.643295277176168,7.22257047476968,0.21% C60/Nylon 6-6
12.40547079404913,5.375242971170432,0.21% C60/Nylon 6-6
13.326666707072711,4.227648765906671,0.21% C60/Nylon 6-6
14.789320522920072,11.973184276308663,0.21% C60/Nylon 6-6
9.279029899334985,6.0034013855309905,0.54% C60/Nylon 6-6
9.643295277176168,5.998382168446358,0.54% C60/Nylon 6-6
12.40547079404913,5.966162248191704,0.54% C60/Nylon 6-6
13.326666707072711,5.96230554979633,0.54% C60/Nylon 6-6
14.789320522920072,5.954784903855293,0.54% C60/Nylon 6-6
