Aspect Ratio,Thermal Diffusivity (mm²/s)
7.871352281376513,-0.10177184419902252,Au/PA 12
12.563790140392111,5.843978896564537,Au/PA 12
13.702424036349637,-1.1563566128184055,Au/PA 12
13.917622381849874,6.081022828668743,Au/PA 12
17.269130862276167,7.070701603674857,Au/PA 12
7.871352281376513,2.350799451393995,dodecylbenzene sulfonic acid/PA 12
12.563790140392111,2.273747301071733,dodecylbenzene sulfonic acid/PA 12
13.702424036349637,2.264263736715845,dodecylbenzene sulfonic acid/PA 12
13.917622381849874,2.263576035721187,dodecylbenzene sulfonic acid/PA 12
17.269130862276167,2.255110809607319,dodecylbenzene sulfonic acid/PA 12
7.871352281376513,-0.575412374291864,calcium carbonate/PA 12
12.563790140392111,-0.7102727485550311,calcium carbonate/PA 12
13.702424036349637,-0.7521366191957173,calcium carbonate/PA 12
13.917622381849874,-0.7498146912424112,calcium carbonate/PA 12
17.269130862276167,-0.807916227253552,calcium carbonate/PA 12
7.871352281376513,2.887604307335647,Fe3O4/PA 12
12.563790140392111,1.6628784665128014,Fe3O4/PA 12
13.702424036349637,8.351931192713263,Fe3O4/PA 12
13.917622381849874,1.8577373154640648,Fe3O4/PA 12
17.269130862276167,3.970460093073976,Fe3O4/PA 12
7.871352281376513,6.097678280751299,Clay/PA 12
12.563790140392111,6.03960551113746,Clay/PA 12
13.702424036349637,6.029943010777148,Clay/PA 12
13.917622381849874,6.02905907248094,Clay/PA 12
17.269130862276167,6.02072138051968,Clay/PA 12
