vol%,Pore Size (nm)
4.878827242803077,4.408527969439664,FeO/PDMS
6.439239855957584,4.35477332354301,FeO/PDMS
9.120864361473384,4.24251458749194,FeO/PDMS
14.940438195213918,4.082256438215754,FeO/PDMS
16.793550475400643,4.020398878012457,FeO/PDMS
4.878827242803077,-1.704126919426212,cellulose nanowhiskers/PDMS
6.439239855957584,0.5569715753097713,cellulose nanowhiskers/PDMS
9.120864361473384,-1.3807845683543523,cellulose nanowhiskers/PDMS
14.940438195213918,99.6440839372624,cellulose nanowhiskers/PDMS
16.793550475400643,159.35574140409784,cellulose nanowhiskers/PDMS
