Calcination Temperature (°C),Adhesion Strength (MPa)
5.706213732285539,-5.155391470222592,Graphite/PET
9.469633718349694,-5.3238443696638535,Graphite/PET
18.22085000904178,-5.536506938422608,Graphite/PET
5.706213732285539,-1.177090973004132,Cloisite/PET
9.469633718349694,-1.2487650777596313,Cloisite/PET
18.22085000904178,-1.5092793211577011,Cloisite/PET
5.706213732285539,11.46809129049818,fumed silica/PET
9.469633718349694,26.849807037675482,fumed silica/PET
18.22085000904178,122.33307910001459,fumed silica/PET
5.706213732285539,4.044786325438704,Sodium titanate nanotubes/PET
9.469633718349694,3.8696024272439313,Sodium titanate nanotubes/PET
18.22085000904178,3.6226533244965147,Sodium titanate nanotubes/PET
