Ultrasound Power (W),Electrical Resistivity (Ω·m)
0,3.7479574979798715,Acetylene black/P2VP
5,3.0577076689405396,Acetylene black/P2VP
10,2.8683603886332416,Acetylene black/P2VP
16,2.7349197472082754,Acetylene black/P2VP
0,-3.945533816755795,Bentonite/P2VP
5,-3.6758788541981673,Bentonite/P2VP
10,-0.08110620009957614,Bentonite/P2VP
16,2.0685849628427313,Bentonite/P2VP
0,4.409698596151012,barium titanate/P2VP
5,4.423156998342044,barium titanate/P2VP
10,4.289950436157217,barium titanate/P2VP
16,4.06901829506473,barium titanate/P2VP
0,6.376800469842818,graphene oxide/P2VP
5,5.791647109056457,graphene oxide/P2VP
10,5.560037344508982,graphene oxide/P2VP
16,5.5193052196633134,graphene oxide/P2VP
