EV (V),Toughness (MJ/m³)
1,6.630067947114212,0.18% OFG/Poly(benzoxazine)
2,6.958019644271379,0.18% OFG/Poly(benzoxazine)
18,15.8976254599802,0.18% OFG/Poly(benzoxazine)
1,-5.139262841096519,0.84% OFG/Poly(benzoxazine)
2,-5.560839695313894,0.84% OFG/Poly(benzoxazine)
18,-5.997390141612029,0.84% OFG/Poly(benzoxazine)
1,-0.6374510713849288,0.02% OFG/Poly(benzoxazine)
2,-0.7253329614022529,0.02% OFG/Poly(benzoxazine)
18,-1.269963593203338,0.02% OFG/Poly(benzoxazine)
1,-2.495880766370497,0.27% OFG/Poly(benzoxazine)
2,-2.6012722904536894,0.27% OFG/Poly(benzoxazine)
18,-3.3062845712034954,0.27% OFG/Poly(benzoxazine)
1,-4.854905956490206,0.8% OFG/Poly(benzoxazine)
2,-5.022069720340825,0.8% OFG/Poly(benzoxazine)
18,-5.648527242500143,0.8% OFG/Poly(benzoxazine)
