Aging Temperature (°C),Thermal Conductivity (W/(m·K))
2,-3.6369594011442548,MMT/P(BA-a)
6,-4.0850182085962174,MMT/P(BA-a)
11,-4.187323677956927,MMT/P(BA-a)
14,-4.209406960275706,MMT/P(BA-a)
18,-4.219243545790055,MMT/P(BA-a)
2,-5.177015571570485,BaTiO3/P(BA-a)
6,-5.314795554626085,BaTiO3/P(BA-a)
11,-5.557654290945652,BaTiO3/P(BA-a)
14,-5.643345380603357,BaTiO3/P(BA-a)
18,-5.725776718977596,BaTiO3/P(BA-a)
2,-7.166411574887157,Bentonite clay/P(BA-a)
6,-7.470136737830242,Bentonite clay/P(BA-a)
11,-7.572176980910568,Bentonite clay/P(BA-a)
14,-7.5954590298786036,Bentonite clay/P(BA-a)
18,-7.605121471162164,Bentonite clay/P(BA-a)
2,1.3608598166617025,Barium titanate/P(BA-a)
6,5.659291059676189,Barium titanate/P(BA-a)
11,-0.7387433418816514,Barium titanate/P(BA-a)
14,-0.771726082058489,Barium titanate/P(BA-a)
18,647.5276982327031,Barium titanate/P(BA-a)
2,7.781994562330555,calcium copper titanate/P(BA-a)
6,9.610778347726953,calcium copper titanate/P(BA-a)
11,11.56276921593278,calcium copper titanate/P(BA-a)
14,9.113126987760076,calcium copper titanate/P(BA-a)
18,6.654880506902571,calcium copper titanate/P(BA-a)
