Time (s),Glass Transition Temperature (°C)
5.00794231033264,7.174136843178849,0.4% montmorillonite K-10
11.227787192526982,6.9544526972530605,0.4% montmorillonite K-10
12.927869447813404,6.892403823615661,0.4% montmorillonite K-10
15.74952669196353,6.8289696990369295,0.4% montmorillonite K-10
5,1.0883907017611358,0.56% montmorillonite K-10
6,1.0124308025891935,0.56% montmorillonite K-10
10,0.9148369407238949,0.56% montmorillonite K-10
16,0.8807101137838377,0.56% montmorillonite K-10
1,2.61956880905543,0.64% montmorillonite K-10
7,4.593892908677562,0.64% montmorillonite K-10
12,6.20415793851294,0.64% montmorillonite K-10
14,4.0135727660734455,0.64% montmorillonite K-10
14.125892660061208,10.07559453428898,0.86% montmorillonite K-10
15.050081701617625,10.35384206128704,0.86% montmorillonite K-10
16.285586198753712,7.23855061916738,0.86% montmorillonite K-10
19.81951216102427,17.909547178087447,0.86% montmorillonite K-10
