Loading Concentration (%),Passivation Current Density (A/m²)
5.384006365152785,4.379434488543648,Barium Titanate/bisphenol-A phthalonitrile resin
17.520009310762923,4.191389511420434,Barium Titanate/bisphenol-A phthalonitrile resin
18.8949195038438,4.190101434852363,Barium Titanate/bisphenol-A phthalonitrile resin
5.384006365152785,5.957027620463578,silicon dioxide/bisphenol-A phthalonitrile resin
17.520009310762923,5.648659060002452,silicon dioxide/bisphenol-A phthalonitrile resin
18.8949195038438,5.630712498185615,silicon dioxide/bisphenol-A phthalonitrile resin
5.384006365152785,4.128490899277102,Molybdenum Disulfide/bisphenol-A phthalonitrile resin
17.520009310762923,2.8052548126157877,Molybdenum Disulfide/bisphenol-A phthalonitrile resin
18.8949195038438,4.875812741661809,Molybdenum Disulfide/bisphenol-A phthalonitrile resin
5.384006365152785,6.971879881817103,Poly(acrylonitrile)/bisphenol-A phthalonitrile resin
17.520009310762923,6.453276699098433,Poly(acrylonitrile)/bisphenol-A phthalonitrile resin
18.8949195038438,6.433799043057273,Poly(acrylonitrile)/bisphenol-A phthalonitrile resin
