Thermal Diffusivity (mm²/s),Thermal Stability (°C)
3.2806370605247714,-1.4052994923427136,BPA-Ph
17.689419185224708,-117.14970961287088,BPA-Ph
17.874134476715497,470.2661228394744,BPA-Ph
3.2806370605247714,-4.058006926985113,VER
17.689419185224708,-274.7796229334445,VER
17.874134476715497,69.11532373598423,VER
3.2806370605247714,-5.78158959141461,Poly(butylene)
17.689419185224708,-6.187414207252501,Poly(butylene)
17.874134476715497,-6.187680304236085,Poly(butylene)
3.2806370605247714,-6.291854732666061,Nylon 8
17.689419185224708,-6.703124136579142,Nylon 8
17.874134476715497,-6.70361322836952,Nylon 8
3.2806370605247714,-1.3036252587622634,PTFE
17.689419185224708,-1.688555937316307,PTFE
17.874134476715497,-1.688727326237473,PTFE
