Specific Heat Capacity (J/(g·K)),Electrical Conductivity (S/m)
6.778908242639099,2.654599098875337,0.06% Graphene
8.608133432723653,2.553619457360769,0.06% Graphene
11.299841953053011,2.4306713658510835,0.06% Graphene
18.48426845875814,2.251638163144397,0.06% Graphene
18.758101383593864,2.258784977469714,0.06% Graphene
6.778908242639099,8.031605317510703,0.71% Graphene
8.608133432723653,6.6718941644538114,0.71% Graphene
11.299841953053011,11.165335843677742,0.71% Graphene
18.48426845875814,13.758252747438284,0.71% Graphene
18.758101383593864,14.224068223449313,0.71% Graphene
