Reaction Temperature (°C),Permittivity
0.5044995685191367,-4.321488078482898,Polyurethane
2.0146319916055777,-3.7532980902012194,Polyurethane
4.449332403945432,-2.443012501331112,Polyurethane
6.044567391570532,2.0464862879909687,Polyurethane
6.3883027996659525,0.6856092419369224,Polyurethane
10.620941608314789,7.995238753915725,Polyurethane
0.5044995685191367,0.2722380930978403,PVDF
2.0146319916055777,0.3914021875040745,PVDF
4.449332403945432,-0.018249309541316316,PVDF
6.044567391570532,-0.11081418211723468,PVDF
6.3883027996659525,-0.13854516701074793,PVDF
10.620941608314789,-0.2627716702072586,PVDF
0.5044995685191367,4.97022236442943,PMA
2.0146319916055777,5.868554201146541,PMA
4.449332403945432,8.754232651846156,PMA
6.044567391570532,7.960113317014391,PMA
6.3883027996659525,16.10546408556141,PMA
10.620941608314789,27.644528865138216,PMA
