Filler Content (%),Kinematic Viscosity (mm²/s)
7.598356133615276,7.489492029494418,Poly(methyl methacrylate)
12.097628365595629,4.355807065163653,Poly(methyl methacrylate)
15.330927380133692,139.80467856824038,Poly(methyl methacrylate)
17.08857209392868,-46.612798401552524,Poly(methyl methacrylate)
17.171186722931452,239.18365950597627,Poly(methyl methacrylate)
18.405739136449796,424.6222322602712,Poly(methyl methacrylate)
19.90202529254447,666.2867929783612,Poly(methyl methacrylate)
7.598356133615276,-1.190154204099312,Cellulose acetate butyrate
12.097628365595629,-1.2766515352729537,Cellulose acetate butyrate
15.330927380133692,-1.2909995342606633,Cellulose acetate butyrate
17.08857209392868,-1.2954858444749902,Cellulose acetate butyrate
17.171186722931452,-1.2952675380088934,Cellulose acetate butyrate
18.405739136449796,-1.2972186861011585,Cellulose acetate butyrate
19.90202529254447,-1.2986076694165365,Cellulose acetate butyrate
