Holding Time (min),Compressive Modulus (GPa)
3,7.0667647988543925,silver hexafluoroantimonate/aPP
8,7.783461736066558,silver hexafluoroantimonate/aPP
14,6.4871734519902615,silver hexafluoroantimonate/aPP
15,7.770168324874913,silver hexafluoroantimonate/aPP
19,2.234579863251154,silver hexafluoroantimonate/aPP
3,8.209958198429048,Molybdenum disulfide/aPP
8,10.389535581093934,Molybdenum disulfide/aPP
14,8.83470962082535,Molybdenum disulfide/aPP
15,10.531751814644746,Molybdenum disulfide/aPP
19,19.323477300244843,Molybdenum disulfide/aPP
3,0.8206906964063814,Single-wall carbon nanotubes/aPP
8,9.382624714306525,Single-wall carbon nanotubes/aPP
14,-19.28324440283425,Single-wall carbon nanotubes/aPP
15,-39.16249909536749,Single-wall carbon nanotubes/aPP
19,756.2103628263245,Single-wall carbon nanotubes/aPP
3,2.4905983314859625,Thermal black/aPP
8,12.800832127637621,Thermal black/aPP
14,154.3226081008639,Thermal black/aPP
15,124.34245821981014,Thermal black/aPP
19,587.0938513876048,Thermal black/aPP
