Tensile Strength (MPa),Young’s Modulus (GPa)
4.041641787756969,-4.359624885561079,0.3% Fe3O4
10.725600291954457,-4.608191408930232,0.3% Fe3O4
11.556925362505053,-4.618472057762077,0.3% Fe3O4
18.275300219144953,-4.645399601150647,0.3% Fe3O4
18.954998423244046,-4.646197692209146,0.3% Fe3O4
4,-1.2169917691752592,0.37% Fe3O4
5,-1.2922229023603986,0.37% Fe3O4
9,-1.4181261942719139,0.37% Fe3O4
10,-1.4402445277720866,0.37% Fe3O4
17,-1.482643218084127,0.37% Fe3O4
9.554315893637927,7.561098513906073,0.31% Fe3O4
12.165964903439928,41.79645403235875,0.31% Fe3O4
13.642373441377988,81.29639090381143,0.31% Fe3O4
16.124309001576716,113.79624134909018,0.31% Fe3O4
18.74834837903365,701.565870880706,0.31% Fe3O4
0,6.253834134489815,0.49% Fe3O4
4,8.322465032001254,0.49% Fe3O4
12,37.40996804614567,0.49% Fe3O4
15,130.83985548033286,0.49% Fe3O4
17,154.0698614365163,0.49% Fe3O4
