Decomposition Temperature (°C),Magnetic Susceptibility
0,7.40041545722564,0.34% Calcium Carbonate/PB
3,7.192680356248242,0.34% Calcium Carbonate/PB
7,6.8776870306871745,0.34% Calcium Carbonate/PB
18,6.58435417149502,0.34% Calcium Carbonate/PB
0,3.1892109896986396,0.94% Calcium Carbonate/PB
3,2.8890749703018876,0.94% Calcium Carbonate/PB
7,2.7730929585268482,0.94% Calcium Carbonate/PB
18,2.4705402809077053,0.94% Calcium Carbonate/PB
0,-3.043095930161928,0.24% Calcium Carbonate/PB
3,-3.058227328144663,0.24% Calcium Carbonate/PB
7,3.8176213105210275,0.24% Calcium Carbonate/PB
18,148.1546893439938,0.24% Calcium Carbonate/PB
0,2.1263821059905936,0.3% Calcium Carbonate/PB
3,2.6061552034634468,0.3% Calcium Carbonate/PB
7,3.579736025635286,0.3% Calcium Carbonate/PB
18,15.402686697924757,0.3% Calcium Carbonate/PB
0,3.4883303967807286,0.64% Calcium Carbonate/PB
3,2.815777288248589,0.64% Calcium Carbonate/PB
7,2.5197089743828904,0.64% Calcium Carbonate/PB
18,2.384904683380101,0.64% Calcium Carbonate/PB
