Aging Temperature (°C),Bet Surface Area
1.2173288247081349,-1.5125352149495872,PBS
4.918949502374668,-1.8991880690098633,PBS
8.25024463268766,-2.023856264102668,PBS
10.391681915886966,-2.1468661204349306,PBS
16.968139468270476,-2.3124186658968,PBS
1.2173288247081349,2.943043334342239,BXZ
4.918949502374668,2.2748749906249817,BXZ
8.25024463268766,2.173566363406054,BXZ
10.391681915886966,2.137601404822318,BXZ
16.968139468270476,2.095451807067076,BXZ
1.2173288247081349,-3.9141773448094375,CNBR
4.918949502374668,-4.185311515935028,CNBR
8.25024463268766,-4.37857671543107,CNBR
10.391681915886966,-4.4175421398287495,CNBR
16.968139468270476,-4.456953002284871,CNBR
1.2173288247081349,1.5663716567757975,EVA
4.918949502374668,2.4978063969875586,EVA
8.25024463268766,12.493846410598461,EVA
10.391681915886966,2.4641287752810666,EVA
16.968139468270476,341.40007784201254,EVA
1.2173288247081349,7.691285550686846,Epoxy novolac viny ester resin
4.918949502374668,9.429825806273715,Epoxy novolac viny ester resin
8.25024463268766,23.087881987754002,Epoxy novolac viny ester resin
10.391681915886966,22.894376164991222,Epoxy novolac viny ester resin
16.968139468270476,126.82661059319143,Epoxy novolac viny ester resin
