vol% (%),Tg (°C)
0,-6.9318825175025705,Poly(vinyl pyrrolidone)
3,-7.125409285750648,Poly(vinyl pyrrolidone)
4,-7.203666046928486,Poly(vinyl pyrrolidone)
13,-7.667298068065436,Poly(vinyl pyrrolidone)
16,-7.740579560607495,Poly(vinyl pyrrolidone)
0,-1.6561232643068242,PA 12
3,-2.307066676024651,PA 12
4,-2.3429837528870734,PA 12
13,-2.6100469148382626,PA 12
16,-2.620346599903107,PA 12
0,3.929684291990659,PBuA
3,3.4943457257358355,PBuA
4,4.119356675387597,PBuA
13,9.795917290909053,PBuA
16,7.13753639837084,PBuA
