Pressure (Pa),Zeta Potential (mV)
3.259822932173848,2.265141210068621,0.85% Sodium titanate nanotubes/Poly(vinyl chloride)
5.14501119716191,6.373298205293849,0.85% Sodium titanate nanotubes/Poly(vinyl chloride)
12.00772597866867,4.330256292494681,0.85% Sodium titanate nanotubes/Poly(vinyl chloride)
13.56303553243544,17.589407601476424,0.85% Sodium titanate nanotubes/Poly(vinyl chloride)
17.341241698259495,382.95792175434815,0.85% Sodium titanate nanotubes/Poly(vinyl chloride)
19.680613919631387,732.0269089292885,0.85% Sodium titanate nanotubes/Poly(vinyl chloride)
3.259822932173848,-3.192748586819884,0.42% Sodium titanate nanotubes/Poly(vinyl chloride)
5.14501119716191,-2.873829396946258,0.42% Sodium titanate nanotubes/Poly(vinyl chloride)
12.00772597866867,2.534000928813949,0.42% Sodium titanate nanotubes/Poly(vinyl chloride)
13.56303553243544,2.244890217925118,0.42% Sodium titanate nanotubes/Poly(vinyl chloride)
17.341241698259495,13.753877458039263,0.42% Sodium titanate nanotubes/Poly(vinyl chloride)
19.680613919631387,21.079475308976974,0.42% Sodium titanate nanotubes/Poly(vinyl chloride)
