Incubation Temperature (°C),Pore Size (nm)
5.03717204111803,3.9909236721831487,0.32% PAN/Nylon 6
8.10344211698257,3.6654396939164515,0.32% PAN/Nylon 6
18.422409747394475,5.0797984996866345,0.32% PAN/Nylon 6
3.6463275743010137,-6.555702747658602,0.85% PAN/Nylon 6
11.438458986512167,-6.83228541245087,0.85% PAN/Nylon 6
15.942659525292607,-6.854852207274802,0.85% PAN/Nylon 6
8.200978786709694,14.449358747381602,0.36% PAN/Nylon 6
15.740294435333999,217.4128881497441,0.36% PAN/Nylon 6
19.557298225933458,162.195759468218,0.36% PAN/Nylon 6
6.939692694996009,5.821154641096267,0.63% PAN/Nylon 6
9.26468155590668,5.771078173671811,0.63% PAN/Nylon 6
14.109547871642734,5.599087204774759,0.63% PAN/Nylon 6
