Synthesis Time (min),Particle Size (nm)
6.879010836799482,-1.6849558309561101,0.76% Paraffin oil
7.45187215913875,-1.8371203416312922,0.76% Paraffin oil
7.78322443705725,-1.8554502029076927,0.76% Paraffin oil
6.879010836799482,0.940650256890968,0.19% Paraffin oil
7.45187215913875,-0.9214616561410174,0.19% Paraffin oil
7.78322443705725,1.5582094122495462,0.19% Paraffin oil
6.879010836799482,4.266081086912582,0.76% Paraffin oil
7.45187215913875,3.951669331474233,0.76% Paraffin oil
7.78322443705725,4.5653645340571245,0.76% Paraffin oil
6.879010836799482,-4.819647081459366,0.41% Paraffin oil
7.45187215913875,-4.849489716834366,0.41% Paraffin oil
7.78322443705725,-4.860082213368668,0.41% Paraffin oil
6.879010836799482,11.619924583801108,0.65% Paraffin oil
7.45187215913875,15.652778035423681,0.65% Paraffin oil
7.78322443705725,21.14090376801358,0.65% Paraffin oil
