Mechanical Strength (MPa),Permittivity
5.753972468779265,-6.713962921191055,0.85% Poly(vinyl alcohol)/Bisphenol E cyanate ester resin
8.041986703286971,-6.790841190103958,0.85% Poly(vinyl alcohol)/Bisphenol E cyanate ester resin
19.55677702571802,-6.8715808026757115,0.85% Poly(vinyl alcohol)/Bisphenol E cyanate ester resin
5.753972468779265,-2.4832293781518318,0.68% Poly(vinyl alcohol)/Bisphenol E cyanate ester resin
8.041986703286971,-2.5872523110562153,0.68% Poly(vinyl alcohol)/Bisphenol E cyanate ester resin
19.55677702571802,-2.669113902411896,0.68% Poly(vinyl alcohol)/Bisphenol E cyanate ester resin
5.753972468779265,-5.860297954711471,0.39% Poly(vinyl alcohol)/Bisphenol E cyanate ester resin
8.041986703286971,-5.940959456903104,0.39% Poly(vinyl alcohol)/Bisphenol E cyanate ester resin
19.55677702571802,-6.026266330391202,0.39% Poly(vinyl alcohol)/Bisphenol E cyanate ester resin
5.753972468779265,-2.1380503061336635,0.4% Poly(vinyl alcohol)/Bisphenol E cyanate ester resin
8.041986703286971,-2.235088996236563,0.4% Poly(vinyl alcohol)/Bisphenol E cyanate ester resin
19.55677702571802,-2.3068111948973997,0.4% Poly(vinyl alcohol)/Bisphenol E cyanate ester resin
