Particle Density,Intrinsic Viscosity (dl/g)
8.617136094431388,-6.644733089509288,Poly(hexafluoro propylene)
13.413076244006579,-6.698498283525172,Poly(hexafluoro propylene)
13.87364727935605,-6.702108099048266,Poly(hexafluoro propylene)
19.36455596644376,-6.713114703004235,Poly(hexafluoro propylene)
8.617136094431388,25.460674054475554,SAN
13.413076244006579,46.35217747562889,SAN
13.87364727935605,146.81973526788803,SAN
19.36455596644376,1235.8274075332838,SAN
8.617136094431388,16.524889237121542,PVOH
13.413076244006579,-3.7965755452484,PVOH
13.87364727935605,143.38914255663522,PVOH
19.36455596644376,338.7574519141467,PVOH
8.617136094431388,5.587262648096766,COC
13.413076244006579,5.532892137346354,COC
13.87364727935605,5.530971307243746,COC
19.36455596644376,5.518628164710559,COC
