Reaction Temperature (°C),Magnetic Anisotropy (J/m³)
1.6792854358992648,-6.772683455957435,
1.8634312891818627,-7.1010644526343265,
2.1832383465261196,-6.954863512062089,
12.520274226603956,-7.480460941084853,
16.51775870222702,-7.494985357521015,
4,4.942572845035652,
10,4.677117395330707,
11,4.64282035010198,
16,4.524019391488493,
17,4.494093566519192,
1,0.5616476000328174,
5,0.18678294509618965,
8,0.07185705493804632,
15,-0.007496244732936527,
18,-0.013833979986572141,
4.518425048884646,-5.2700282470657935,
9.375570220848521,-5.544273444866626,
14.81366580469458,-5.6888991041443076,
16.51911668263559,-5.73105569762863,
16.58568330347569,-5.722707065819551,
3,-3.2429135545573424,
4,-3.309851949235319,
8,-3.5982524820412882,
16,-3.7906764646625635,
18,-3.8309930447605307,
