Particle Density,Flexural Modulus (GPa)
2.53606020701423,7.535935373458653,0.53% Cloisite
6.057961205276301,8.911580064020818,0.53% Cloisite
13.000876988392413,12.375735352366439,0.53% Cloisite
13.777240398208555,9.183901165311001,0.53% Cloisite
15.263031204982656,11.90047368940851,0.53% Cloisite
16.579205584452904,18.95496913712808,0.53% Cloisite
19.8001771837089,18.36288907545527,0.53% Cloisite
2.53606020701423,0.05905735113684374,0.8% Cloisite
6.057961205276301,-0.3126787327595,0.8% Cloisite
13.000876988392413,-0.5680314879752473,0.8% Cloisite
13.777240398208555,-0.5972817287648605,0.8% Cloisite
15.263031204982656,-0.6358617434431983,0.8% Cloisite
16.579205584452904,-0.651946786918988,0.8% Cloisite
19.8001771837089,-0.7147753084554695,0.8% Cloisite
2.53606020701423,-1.0421342115507006,0.2% Cloisite
6.057961205276301,-1.4753552563651453,0.2% Cloisite
13.000876988392413,-1.6155154129895763,0.2% Cloisite
13.777240398208555,-1.6199711887877681,0.2% Cloisite
15.263031204982656,-1.625072494066529,0.2% Cloisite
16.579205584452904,-1.6290971749356882,0.2% Cloisite
19.8001771837089,-1.6328016000578074,0.2% Cloisite
2.53606020701423,-2.507824165460171,0.41% Cloisite
6.057961205276301,-2.723986442525871,0.41% Cloisite
13.000876988392413,-2.8862021507591353,0.41% Cloisite
13.777240398208555,-2.888163014001271,0.41% Cloisite
15.263031204982656,-2.894190757322941,0.41% Cloisite
16.579205584452904,-2.8977994947098384,0.41% Cloisite
19.8001771837089,-2.902572944495752,0.41% Cloisite
