Solvent Concentration (M),Compression Strength (MPa)
3.1138092264702943,-1.3100216263265603,"Iron (II,III) Oxide/PPSF"
4.185217038480875,0.7162740801212877,"Iron (II,III) Oxide/PPSF"
6.509842764328006,0.31808230335625787,"Iron (II,III) Oxide/PPSF"
7.006558415149675,2.3392763668617835,"Iron (II,III) Oxide/PPSF"
10.188697675802018,19.546562347121444,"Iron (II,III) Oxide/PPSF"
6,-2.646796501352852,SWNTs/PPSF
8,-2.5910565794960325,SWNTs/PPSF
10,0.12802980985189993,SWNTs/PPSF
17,-1.4015902121623527,SWNTs/PPSF
18,5.957449663746287,SWNTs/PPSF
