Heat Capacity (J/K),Shear Modulus (GPa)
4,3.5872915522266995,0.35% Paraffinum liquidum
7,4.003433050890258,0.35% Paraffinum liquidum
9,8.876396671244965,0.35% Paraffinum liquidum
14,165.70898871645582,0.35% Paraffinum liquidum
3,-1.9645046069134882,0.75% Paraffinum liquidum
9,0.8267179433853373,0.75% Paraffinum liquidum
10,-0.7510015370316094,0.75% Paraffinum liquidum
19,7.079202892680465,0.75% Paraffinum liquidum
4.5868506814517085,-1.4470390366088197,0.93% Paraffinum liquidum
4.987345158198777,-1.3645537761870763,0.93% Paraffinum liquidum
13.361411794658222,-1.826558123892026,0.93% Paraffinum liquidum
16.58719482769461,-1.8771506937240157,0.93% Paraffinum liquidum
