pH,Crystallization Temperature (°C)
2.211021084110807,-6.46538597056817,DGEBD
2.9061730692943777,-6.216722396289382,DGEBD
4.946616218465776,-5.487515278871746,DGEBD
10.206139420116171,-6.206953184131985,DGEBD
19.311416686671638,8.705012806709114,DGEBD
19.58109234310281,-3.8452335172440804,DGEBD
2.211021084110807,-5.740972793682728,Poly(styrene-co-acrylonitrile)
2.9061730692943777,-6.033164604439863,Poly(styrene-co-acrylonitrile)
4.946616218465776,-2.9373286118222808,Poly(styrene-co-acrylonitrile)
10.206139420116171,40.26690128807001,Poly(styrene-co-acrylonitrile)
19.311416686671638,388.552335427383,Poly(styrene-co-acrylonitrile)
19.58109234310281,-490.6961667201037,Poly(styrene-co-acrylonitrile)
2.211021084110807,3.22498220977154,Poly(butylene)
2.9061730692943777,3.3967082713323955,Poly(butylene)
4.946616218465776,3.0416993603367324,Poly(butylene)
10.206139420116171,2.9079850750156666,Poly(butylene)
19.311416686671638,2.860477545030411,Poly(butylene)
19.58109234310281,2.860271501578128,Poly(butylene)
2.211021084110807,-2.6934618453529526,Poly(2-vinyl pyridine)
2.9061730692943777,-2.64608729580123,Poly(2-vinyl pyridine)
4.946616218465776,-2.229243148080399,Poly(2-vinyl pyridine)
10.206139420116171,14.830378417388163,Poly(2-vinyl pyridine)
19.311416686671638,-143.50351268574005,Poly(2-vinyl pyridine)
19.58109234310281,593.7177659066379,Poly(2-vinyl pyridine)
