Incubation Temperature (°C),Toughness (MJ/m³)
1,-3.0681543187454716,0.28% Alumina/P(VDF-HFP)
6,-3.90279850447454,0.28% Alumina/P(VDF-HFP)
10,-4.0196804591974455,0.28% Alumina/P(VDF-HFP)
12,-4.043032209517556,0.28% Alumina/P(VDF-HFP)
15,-4.058288040653154,0.28% Alumina/P(VDF-HFP)
1,0.09107019172362918,0.94% Alumina/P(VDF-HFP)
6,4.73549515132917,0.94% Alumina/P(VDF-HFP)
10,18.32419335944558,0.94% Alumina/P(VDF-HFP)
12,80.37056384538135,0.94% Alumina/P(VDF-HFP)
15,82.45091552536282,0.94% Alumina/P(VDF-HFP)
1,2.024111235534279,0.9% Alumina/P(VDF-HFP)
6,1.7957483280611841,0.9% Alumina/P(VDF-HFP)
10,1.6467129932468345,0.9% Alumina/P(VDF-HFP)
12,1.556077459298149,0.9% Alumina/P(VDF-HFP)
15,1.5051430342921215,0.9% Alumina/P(VDF-HFP)
1,7.572748550285468,0.96% Alumina/P(VDF-HFP)
6,7.112348961262275,0.96% Alumina/P(VDF-HFP)
10,7.000826139252392,0.96% Alumina/P(VDF-HFP)
12,6.974397306768587,0.96% Alumina/P(VDF-HFP)
15,6.960616600128431,0.96% Alumina/P(VDF-HFP)
